theta_0,theta_1,sigma
-0.1431376,1.4586809,1.1828184
0.5692518,-0.12481581,1.0749655
0.18046016,0.98111784,1.1064668
0.28801087,0.70624614,1.0941439
0.31289726,1.1615304,1.0982081
0.6750557,0.46961746,1.0508426
-0.17338006,1.2675856,1.1770128
-0.05058227,1.667366,1.203631
-0.23006573,2.2704966,1.1305133
-0.17323886,2.2089486,1.2420228
0.7251451,-0.88607526,1.2520467
-0.12936574,1.7608609,0.972533
0.6903646,0.33939132,1.3481718
0.48630762,0.87242895,1.2372593
0.18744484,1.3537773,1.0388869
0.35380504,0.77879715,1.0482354
0.35380504,0.77879715,1.0482354
0.47231117,0.40517917,1.1787183
0.13444762,1.3585225,1.1066688
0.18021965,0.83512694,1.1058763
0.2765249,1.3141998,1.1655824
0.31127402,1.4285415,1.2546763
0.24090639,0.72206795,1.3085861
0.43422857,0.6310182,1.1703093
0.015285325,1.9612865,1.0465602
-0.038391396,1.1957335,1.1179951
0.4431969,0.8509595,1.1059225
-0.06751852,1.8806583,1.1326292
-0.08083983,2.2154572,1.1175358
-0.2430214,1.9363946,1.2349555
-0.044170607,1.5272601,1.095035
0.34957096,0.09828215,1.1644171
0.5211023,0.325659,1.1966047
0.6417265,-0.057874963,1.2528057
0.44899058,0.5200051,1.0986313
0.20193797,0.80313665,0.9430419
0.26459563,0.5413176,1.062057
0.23780708,1.1337315,1.0348284
0.2667329,1.0796525,1.2368678
0.36150005,0.90600127,1.0367221
0.38601243,0.44597566,1.1402228
0.49720183,0.51177263,1.2036933
0.21350749,1.0235863,1.1040885
0.41539973,0.4378701,1.0168471
0.12524308,1.2605407,1.1350942
0.14049257,0.7306356,1.0741882
0.12482464,1.0653807,1.3005925
0.057611864,1.9314817,1.242638
0.0148531115,1.087219,1.0575517
0.3084148,1.1354723,1.0594547
0.78317434,0.035037983,1.0895412
0.58414,0.4516932,1.213248
0.34074676,0.30884188,1.119361
0.24918184,1.2801033,1.1179075
-0.3120974,1.9818012,1.2278177
0.38083485,0.9782839,1.0992746
0.23465121,0.8817901,1.0081774
0.39441267,0.33661777,1.0973272
0.4678736,0.84320223,1.0695608
-0.28329423,1.820547,1.1859682
-0.10687863,1.8170145,1.1677612
-0.11745579,2.307822,1.17122
0.049610168,1.069887,1.1446164
0.34256867,0.94225776,1.135918
0.19397634,0.70121735,1.1227281
0.29364812,1.344057,1.1185534
0.14290477,1.1069938,1.1617188
